,category,accession,file_index
155,plant,NW_009338970.1,1
156,plant,NW_009338971.1,1
157,plant,NW_009338972.1,1
158,plant,NW_009338974.1,1
159,plant,NW_009338975.1,1
160,plant,NW_009338976.1,1
161,plant,NW_009338977.1,1
162,plant,NW_009338978.1,1
163,plant,NW_009338979.1,1
164,plant,NW_009338980.1,1
165,plant,NW_009338981.1,1
166,plant,NW_009338982.1,1
167,plant,NW_009338983.1,1
168,plant,NW_009338984.1,1
169,plant,NW_009338985.1,1
170,plant,NW_009338986.1,1
171,plant,NW_009338987.1,1
172,plant,NW_009338988.1,1
173,plant,NW_009338989.1,1
174,plant,NW_009338990.1,1
175,plant,NW_009338991.1,1
176,plant,NW_009338992.1,1
177,plant,NW_009338994.1,1
178,plant,NW_009338997.1,1
179,plant,NW_009338998.1,1
180,plant,NW_009338999.1,1
181,plant,NW_009339000.1,1
182,plant,NW_009339001.1,1
183,plant,NW_009339002.1,1
184,plant,NW_009339003.1,1
185,plant,NW_009339005.1,1
186,plant,NW_009339006.1,1
187,plant,NW_009339007.1,1
188,plant,NW_009339008.1,1
189,plant,NW_009339009.1,1
190,plant,NW_009339010.1,1
191,plant,NW_009339011.1,1
192,plant,NW_009339012.1,1
193,plant,NW_009339013.1,1
194,plant,NW_009339014.1,1
195,plant,NW_009339015.1,1
196,plant,NW_009339016.1,1
197,plant,NW_009339017.1,1
198,plant,NW_009339018.1,1
199,plant,NW_009339019.1,1
200,plant,NW_009339020.1,1
201,plant,NW_009339021.1,1
202,plant,NW_009339022.1,1
203,plant,NW_009339023.1,1
204,plant,NW_009339024.1,1
205,plant,NW_009339025.1,1
206,plant,NW_009339027.1,1
207,plant,NW_009339028.1,1
208,plant,NW_009339029.1,1
209,plant,NW_009339030.1,1
210,plant,NW_009339031.1,1
211,plant,NW_009339032.1,1
212,plant,NW_009339033.1,1
213,plant,NW_009339034.1,1
214,plant,NW_009339035.1,1
215,plant,NW_009339036.1,1
216,plant,NW_009339037.1,1
217,plant,NW_009339038.1,1
218,plant,NW_009339039.1,1
219,plant,NW_009339040.1,1
220,plant,NW_009339041.1,1
221,plant,NW_009339042.1,1
222,plant,NW_009339043.1,1
223,plant,NW_009339044.1,1
224,plant,NW_009339045.1,1
225,plant,NW_009339046.1,1
226,plant,NW_009339047.1,1
227,plant,NW_009339048.1,1
228,plant,NW_009339050.1,1
229,plant,NW_009339051.1,1
230,plant,NW_009339052.1,1
231,plant,NW_009339053.1,1
232,plant,NW_009339054.1,1
233,plant,NW_009339055.1,1
234,plant,NW_009339056.1,1
235,plant,NW_009339057.1,1
236,plant,NW_009339058.1,1
237,plant,NW_009339059.1,1
238,plant,NW_009339060.1,1
239,plant,NW_009339061.1,1
240,plant,NW_009339062.1,1
241,plant,NW_009339063.1,1
242,plant,NW_009339064.1,1
243,plant,NW_009339065.1,1
244,plant,NW_009339066.1,1
245,plant,NW_009339067.1,1
246,plant,NW_009339068.1,1
247,plant,NW_009339069.1,1
248,plant,NW_009339070.1,1
249,plant,NW_009339071.1,1
250,plant,NW_009339072.1,1
251,plant,NW_009339073.1,1
252,plant,NW_009339074.1,1
253,plant,NW_009339075.1,1
254,plant,NW_009339076.1,1
255,plant,NW_009339077.1,1
256,plant,NW_009339078.1,1
257,plant,NW_009339079.1,1
258,plant,NW_009339080.1,1
259,plant,NW_009339081.1,1
260,plant,NW_009339082.1,1
261,plant,NW_009339083.1,1
262,plant,NW_009339084.1,1
263,plant,NW_009339086.1,1
264,plant,NW_009339087.1,1
265,plant,NW_009339088.1,1
266,plant,NW_009339089.1,1
267,plant,NW_009339090.1,1
268,plant,NW_009339092.1,1
269,plant,NW_009339093.1,1
270,plant,NW_009339094.1,1
271,plant,NW_009339095.1,1
272,plant,NW_009339096.1,1
273,plant,NW_009339097.1,1
274,plant,NW_009339099.1,1
275,plant,NW_009339100.1,1
276,plant,NW_009339101.1,1
277,plant,NW_009339102.1,1
278,plant,NW_009339103.1,1
279,plant,NW_009339104.1,1
280,plant,NW_009339105.1,1
281,plant,NW_009339106.1,1
282,plant,NW_009339107.1,1
283,plant,NW_009339108.1,1
284,plant,NW_009339109.1,1
285,plant,NW_009339110.1,1
286,plant,NW_009339111.1,1
287,plant,NW_009339112.1,1
288,plant,NW_009339113.1,1
289,plant,NW_009339114.1,1
290,plant,NW_009339116.1,1
291,plant,NW_009339117.1,1
292,plant,NW_009339118.1,1
293,plant,NW_009339119.1,1
294,plant,NW_009339120.1,1
295,plant,NW_009339121.1,1
296,plant,NW_009339122.1,1
297,plant,NW_009339123.1,1
298,plant,NW_009339124.1,1
299,plant,NW_009339125.1,1
300,plant,NW_009339127.1,1
301,plant,NW_009339128.1,1
302,plant,NW_009339129.1,1
303,plant,NW_009339130.1,1
304,plant,NW_009339131.1,1
305,plant,NW_009339132.1,1
306,plant,NW_009339133.1,1
307,plant,NW_009339134.1,1
308,plant,NW_009339135.1,1
309,plant,NW_009339136.1,1
310,plant,NW_009339137.1,1
311,plant,NW_009339139.1,1
312,plant,NW_009339140.1,1
313,plant,NW_009339141.1,1
314,plant,NW_009339142.1,1
315,plant,NW_009339143.1,1
316,plant,NW_009339144.1,1
317,plant,NW_009339145.1,1
318,plant,NW_009339146.1,1
319,plant,NW_009339147.1,1
320,plant,NW_009339148.1,1
321,plant,NW_009339149.1,1
322,plant,NW_009339150.1,1
323,plant,NW_009339151.1,1
324,plant,NW_009339152.1,1
325,plant,NW_009339153.1,1
326,plant,NW_009339154.1,1
327,plant,NW_009339155.1,1
328,plant,NW_009339156.1,1
329,plant,NW_009339157.1,1
330,plant,NW_009339158.1,1
331,plant,NW_009339159.1,1
332,plant,NW_009339160.1,1
333,plant,NW_009339161.1,1
334,plant,NW_009339162.1,1
335,plant,NW_009339163.1,1
336,plant,NW_009339164.1,1
337,plant,NW_009339165.1,1
338,plant,NW_009339166.1,1
339,plant,NW_009339167.1,1
340,plant,NW_009339168.1,1
341,plant,NW_009339169.1,1
342,plant,NW_009339170.1,1
343,plant,NW_009339172.1,1
344,plant,NW_009339173.1,1
345,plant,NW_009339174.1,1
346,plant,NW_009339175.1,1
347,plant,NW_009339176.1,1
348,plant,NW_009339177.1,1
349,plant,NW_009339178.1,1
350,plant,NW_009339179.1,1
351,plant,NW_009339180.1,1
352,plant,NW_009339181.1,1
353,plant,NW_009339182.1,1
354,plant,NW_009339183.1,1
355,plant,NW_009339185.1,1
356,plant,NW_009339186.1,1
357,plant,NW_009339187.1,1
358,plant,NW_009339188.1,1
359,plant,NW_009339189.1,1
360,plant,NW_009339190.1,1
361,plant,NW_009339191.1,1
362,plant,NW_009339192.1,1
363,plant,NW_009339194.1,1
364,plant,NW_009339195.1,1
365,plant,NW_009339196.1,1
366,plant,NW_009339197.1,1
367,plant,NW_009339198.1,1
368,plant,NW_009339200.1,1
369,plant,NW_009339201.1,1
370,plant,NW_009339202.1,1
371,plant,NW_009339203.1,1
372,plant,NW_009339204.1,1
373,plant,NW_009339205.1,1
374,plant,NW_009339206.1,1
375,plant,NW_009339207.1,1
376,plant,NW_009339208.1,1
377,plant,NW_009339209.1,1
378,plant,NW_009339210.1,1
379,plant,NW_009339211.1,1
380,plant,NW_009339212.1,1
381,plant,NW_009339213.1,1
382,plant,NW_009339214.1,1
383,plant,NW_009339216.1,1
384,plant,NW_009339217.1,1
385,plant,NW_009339218.1,1
386,plant,NW_009339219.1,1
387,plant,NW_009339220.1,1
388,plant,NW_009339221.1,1
389,plant,NW_009339222.1,1
390,plant,NW_009339223.1,1
391,plant,NW_009339224.1,1
392,plant,NW_009339225.1,1
393,plant,NW_009339227.1,1
394,plant,NW_009339228.1,1
395,plant,NW_009339229.1,1
396,plant,NW_009339230.1,1
397,plant,NW_009339231.1,1
398,plant,NW_009339232.1,1
399,plant,NW_009339233.1,1
400,plant,NW_009339234.1,1
401,plant,NW_009339235.1,1
402,plant,NW_009339236.1,1
403,plant,NW_009339238.1,1
404,plant,NW_009339239.1,1
405,plant,NW_009339240.1,1
406,plant,NW_009339241.1,1
407,plant,NW_009339242.1,1
408,plant,NW_009339244.1,1
409,plant,NW_009339245.1,1
410,plant,NW_009339246.1,1
411,plant,NW_009339247.1,1
412,plant,NW_009339250.1,1
413,plant,NW_009339251.1,1
414,plant,NW_009339252.1,1
415,plant,NW_009339253.1,1
416,plant,NW_009339254.1,1
417,plant,NW_009339255.1,1
418,plant,NW_009339256.1,1
419,plant,NW_009339257.1,1
420,plant,NW_009339258.1,1
421,plant,NW_009339259.1,1
422,plant,NW_009339261.1,1
423,plant,NW_009339262.1,1
424,plant,NW_009339263.1,1
425,plant,NW_009339264.1,1
426,plant,NW_009339265.1,1
427,plant,NW_009339266.1,1
428,plant,NW_009339267.1,1
429,plant,NW_009339268.1,1
430,plant,NW_009339269.1,1
431,plant,NW_009339270.1,1
432,plant,NW_009339271.1,1
433,plant,NW_009339272.1,1
434,plant,NW_009339273.1,1
435,plant,NW_009339274.1,1
436,plant,NW_009339275.1,1
437,plant,NW_009339276.1,1
438,plant,NW_009339277.1,1
439,plant,NW_009339278.1,1
440,plant,NW_009339279.1,1
441,plant,NW_009339280.1,1
442,plant,NW_009339281.1,1
443,plant,NW_009339282.1,1
444,plant,NW_009339283.1,1
445,plant,NW_009339284.1,1
446,plant,NW_009339285.1,1
447,plant,NW_009339286.1,1
448,plant,NW_009339287.1,1
449,plant,NW_009339288.1,1
450,plant,NW_009339289.1,1
451,plant,NW_009339290.1,1
452,plant,NW_009339291.1,1
453,plant,NW_009339292.1,1
454,plant,NW_009339293.1,1
455,plant,NW_009339294.1,1
456,plant,NW_009339295.1,1
457,plant,NW_009339296.1,1
458,plant,NW_009339297.1,1
459,plant,NW_009339298.1,1
460,plant,NW_009339299.1,1
461,plant,NW_009339300.1,1
462,plant,NW_009339301.1,1
463,plant,NW_009339302.1,1
464,plant,NW_009339303.1,1
465,plant,NW_009339304.1,1
466,plant,NW_009339305.1,1
467,plant,NW_009339307.1,1
468,plant,NW_009339308.1,1
469,plant,NW_009339309.1,1
470,plant,NW_009339310.1,1
471,plant,NW_009339311.1,1
472,plant,NW_009339312.1,1
473,plant,NW_009339313.1,1
474,plant,NW_009339314.1,1
475,plant,NW_009339316.1,1
476,plant,NW_009339317.1,1
477,plant,NW_009339318.1,1
478,plant,NW_009339319.1,1
479,plant,NW_009339320.1,1
480,plant,NW_009339321.1,1
481,plant,NW_009339322.1,1
482,plant,NW_009339323.1,1
483,plant,NW_009339324.1,1
484,plant,NW_009339325.1,1
485,plant,NW_009339327.1,1
486,plant,NW_009339328.1,1
487,plant,NW_009339329.1,1
488,plant,NW_009339330.1,1
489,plant,NW_009339331.1,1
490,plant,NW_009339332.1,1
491,plant,NW_009339333.1,1
492,plant,NW_009339334.1,1
493,plant,NW_009339335.1,1
494,plant,NW_009339336.1,1
495,plant,NW_009339338.1,1
496,plant,NW_009339339.1,1
497,plant,NW_009339340.1,1
498,plant,NW_009339341.1,1
499,plant,NW_009339342.1,1
500,plant,NW_009339343.1,1
501,plant,NW_009339344.1,1
502,plant,NW_009339345.1,1
503,plant,NW_009339346.1,1
504,plant,NW_009339347.1,1
505,plant,NW_009339349.1,1
506,plant,NW_009339350.1,1
507,plant,NW_009339351.1,1
508,plant,NW_009339352.1,1
509,plant,NW_009339353.1,1
510,plant,NW_009339354.1,1
511,plant,NW_009339356.1,1
512,plant,NW_009339357.1,1
513,plant,NW_009339358.1,1
514,plant,NW_009339359.1,1
515,plant,NW_009339361.1,1
516,plant,NW_009339362.1,1
517,plant,NW_009339363.1,1
518,plant,NW_009339364.1,1
519,plant,NW_009339365.1,1
520,plant,NW_009339366.1,1
521,plant,NW_009339367.1,1
522,plant,NW_009339368.1,1
523,plant,NW_009339369.1,1
524,plant,NW_009339370.1,1
525,plant,NW_009339372.1,1
526,plant,NW_009339373.1,1
527,plant,NW_009339374.1,1
528,plant,NW_009339375.1,1
529,plant,NW_009339376.1,1
530,plant,NW_009339377.1,1
531,plant,NW_009339378.1,1
532,plant,NW_009339379.1,1
533,plant,NW_009339380.1,1
534,plant,NW_009339381.1,1
535,plant,NW_009339383.1,1
536,plant,NW_009339384.1,1
537,plant,NW_009339385.1,1
538,plant,NW_009339386.1,1
539,plant,NW_009339387.1,1
540,plant,NW_009339388.1,1
541,plant,NW_009339389.1,1
542,plant,NW_009339390.1,1
543,plant,NW_009339391.1,1
544,plant,NW_009339392.1,1
545,plant,NW_009339394.1,1
546,plant,NW_009339395.1,1
547,plant,NW_009339396.1,1
548,plant,NW_009339397.1,1
549,plant,NW_009339398.1,1
550,plant,NW_009339399.1,1
551,plant,NW_009339400.1,1
552,plant,NW_009339401.1,1
553,plant,NW_009339402.1,1
554,plant,NW_009339403.1,1
555,plant,NW_009339404.1,1
556,plant,NW_009339405.1,1
557,plant,NW_009339406.1,1
558,plant,NW_009339407.1,1
559,plant,NW_009339408.1,1
560,plant,NW_009339409.1,1
561,plant,NW_009339410.1,1
562,plant,NW_009339411.1,1
563,plant,NW_009339412.1,1
564,plant,NW_009339413.1,1
565,plant,NW_009339414.1,1
566,plant,NW_009339415.1,1
567,plant,NW_009339416.1,1
568,plant,NW_009339417.1,1
569,plant,NW_009339418.1,1
570,plant,NW_009339419.1,1
571,plant,NW_009339420.1,1
572,plant,NW_009339421.1,1
573,plant,NW_009339422.1,1
574,plant,NW_009339423.1,1
575,plant,NW_009339424.1,1
576,plant,NW_009339425.1,1
577,plant,NW_009339426.1,1
578,plant,NW_009339427.1,1
579,plant,NW_009339428.1,1
580,plant,NW_009339429.1,1
581,plant,NW_009339430.1,1
582,plant,NW_009339431.1,1
583,plant,NW_009339433.1,1
584,plant,NW_009339434.1,1
585,plant,NW_009339435.1,1
586,plant,NW_009339436.1,1
587,plant,NW_009339437.1,1
588,plant,NW_009339439.1,1
589,plant,NW_009339440.1,1
590,plant,NW_009339441.1,1
591,plant,NW_009339442.1,1
592,plant,NW_009339443.1,1
593,plant,NW_009339444.1,1
594,plant,NW_009339446.1,1
595,plant,NW_009339447.1,1
596,plant,NW_009339448.1,1
597,plant,NW_009339449.1,1
598,plant,NW_009339450.1,1
599,plant,NW_009339451.1,1
600,plant,NW_009339452.1,1
601,plant,NW_009339453.1,1
602,plant,NW_009339455.1,1
603,plant,NW_009339456.1,1
604,plant,NW_009339457.1,1
605,plant,NW_009339458.1,1
606,plant,NW_009339460.1,1
607,plant,NW_009339461.1,1
608,plant,NW_009339462.1,1
609,plant,NW_009339463.1,1
610,plant,NW_009339464.1,1
611,plant,NW_009339465.1,1
612,plant,NW_009339466.1,1
613,plant,NW_009339467.1,1
614,plant,NW_009339468.1,1
615,plant,NW_009339469.1,1
616,plant,NW_009339470.1,1
617,plant,NW_009339471.1,1
618,plant,NW_009339472.1,1
619,plant,NW_009339473.1,1
620,plant,NW_009339474.1,1
621,plant,NW_009339475.1,1
622,plant,NW_009339476.1,1
623,plant,NW_009339477.1,1
624,plant,NW_009339478.1,1
625,plant,NW_009339479.1,1
626,plant,NW_009339480.1,1
627,plant,NW_009339481.1,1
628,plant,NW_009339482.1,1
629,plant,NW_009339483.1,1
630,plant,NW_009339484.1,1
631,plant,NW_009339485.1,1
632,plant,NW_009339486.1,1
633,plant,NW_009339487.1,1
634,plant,NW_009339488.1,1
635,plant,NW_009339489.1,1
636,plant,NW_009339490.1,1
637,plant,NW_009339491.1,1
638,plant,NW_009339492.1,1
639,plant,NW_009339493.1,1
640,plant,NW_009339494.1,1
641,plant,NW_009339495.1,1
642,plant,NW_009339496.1,1
643,plant,NW_009339497.1,1
644,plant,NW_009339498.1,1
645,plant,NW_009339499.1,1
646,plant,NW_009339500.1,1
647,plant,NW_009339501.1,1
648,plant,NW_009339502.1,1
649,plant,NW_009339503.1,1
650,plant,NW_009339505.1,1
651,plant,NW_009339506.1,1
652,plant,NW_009339507.1,1
653,plant,NW_009339508.1,1
654,plant,NW_009339509.1,1
655,plant,NW_009339510.1,1
656,plant,NW_009339511.1,1
657,plant,NW_009339512.1,1
658,plant,NW_009339513.1,1
659,plant,NW_009339514.1,1
660,plant,NW_009339516.1,1
661,plant,NW_009339518.1,1
662,plant,NW_009339519.1,1
663,plant,NW_009339520.1,1
664,plant,NW_009339521.1,1
665,plant,NW_009339522.1,1
666,plant,NW_009339523.1,1
667,plant,NW_009339524.1,1
668,plant,NW_009339525.1,1
669,plant,NW_009339527.1,1
670,plant,NW_009339528.1,1
671,plant,NW_009339529.1,1
672,plant,NW_009339530.1,1
673,plant,NW_009339531.1,1
674,plant,NW_009339532.1,1
675,plant,NW_009339533.1,1
676,plant,NW_009339534.1,1
677,plant,NW_009339535.1,1
678,plant,NW_009339536.1,1
679,plant,NW_009339537.1,1
680,plant,NW_009339538.1,1
681,plant,NW_009339539.1,1
682,plant,NW_009339540.1,1
683,plant,NW_009339541.1,1
684,plant,NW_009339542.1,1
685,plant,NW_009339543.1,1
686,plant,NW_009339544.1,1
687,plant,NW_009339545.1,1
688,plant,NW_009339546.1,1
689,plant,NW_009339547.1,1
690,plant,NW_009339548.1,1
691,plant,NW_009339550.1,1
692,plant,NW_009339551.1,1
693,plant,NW_009339552.1,1
694,plant,NW_009339553.1,1
695,plant,NW_009339554.1,1
696,plant,NW_009339555.1,1
697,plant,NW_009339556.1,1
698,plant,NW_009339557.1,1
699,plant,NW_009339558.1,1
700,plant,NW_009339560.1,1
701,plant,NW_009339561.1,1
702,plant,NW_009339562.1,1
703,plant,NW_009339563.1,1
704,plant,NW_009339564.1,1
705,plant,NW_009339565.1,1
706,plant,NW_009339566.1,1
707,plant,NW_009339567.1,1
708,plant,NW_009339568.1,1
709,plant,NW_009339569.1,1
710,plant,NW_009339571.1,1
711,plant,NW_009339572.1,1
712,plant,NW_009339573.1,1
713,plant,NW_009339574.1,1
714,plant,NW_009339575.1,1
715,plant,NW_009339576.1,1
716,plant,NW_009339577.1,1
717,plant,NW_009339578.1,1
718,plant,NW_009339579.1,1
719,plant,NW_009339580.1,1
720,plant,NW_009339581.1,1
721,plant,NW_009339582.1,1
722,plant,NW_009339583.1,1
723,plant,NW_009339584.1,1
724,plant,NW_009339585.1,1
725,plant,NW_009339586.1,1
726,plant,NW_009339587.1,1
727,plant,NW_009339588.1,1
728,plant,NW_009339589.1,1
729,plant,NW_009339590.1,1
730,plant,NW_009339591.1,1
731,plant,NW_009339592.1,1
732,plant,NW_009339593.1,1
733,plant,NW_009339594.1,1
734,plant,NW_009339595.1,1
735,plant,NW_009339596.1,1
736,plant,NW_009339597.1,1
737,plant,NW_009339598.1,1
738,plant,NW_009339599.1,1
739,plant,NW_009339600.1,1
740,plant,NW_009339601.1,1
741,plant,NW_009339603.1,1
742,plant,NW_009339604.1,1
743,plant,NW_009339605.1,1
744,plant,NW_009339606.1,1
745,plant,NW_009339607.1,1
746,plant,NW_009339608.1,1
747,plant,NW_009339609.1,1
748,plant,NW_009339610.1,1
749,plant,NW_009339611.1,1
750,plant,NW_009339612.1,1
751,plant,NW_009339613.1,1
752,plant,NW_009339614.1,1
753,plant,NW_009339616.1,1
754,plant,NW_009339617.1,1
755,plant,NW_009339618.1,1
756,plant,NW_009339619.1,1
757,plant,NW_009339620.1,1
758,plant,NW_009339621.1,1
759,plant,NW_009339622.1,1
760,plant,NW_009339623.1,1
761,plant,NW_009339624.1,1
762,plant,NW_009339625.1,1
763,plant,NW_009339626.1,1
764,plant,NW_009339627.1,1
765,plant,NW_009339628.1,1
766,plant,NW_009339629.1,1
767,plant,NW_009339630.1,1
768,plant,NW_009339631.1,1
769,plant,NW_009339632.1,1
770,plant,NW_009339633.1,1
771,plant,NW_009339634.1,1
772,plant,NW_009339635.1,1
773,plant,NW_009339636.1,1
774,plant,NW_009339637.1,1
775,plant,NW_009339638.1,1
776,plant,NW_009339639.1,1
777,plant,NW_009339640.1,1
778,plant,NW_009339641.1,1
779,plant,NW_009339642.1,1
780,plant,NW_009339643.1,1
781,plant,NW_009339644.1,1
782,plant,NW_009339645.1,1
783,plant,NW_009339646.1,1
784,plant,NW_009339647.1,1
785,plant,NW_009339649.1,1
786,plant,NW_009339650.1,1
787,plant,NW_009339651.1,1
788,plant,NW_009339652.1,1
789,plant,NW_009339653.1,1
790,plant,NW_009339654.1,1
791,plant,NW_009339655.1,1
792,plant,NW_009339656.1,1
793,plant,NW_009339657.1,1
794,plant,NW_009339658.1,1
795,plant,NW_009339660.1,1
796,plant,NW_009339661.1,1
797,plant,NW_009339662.1,1
798,plant,NW_009339663.1,1
799,plant,NW_009339664.1,1
800,plant,NW_009339665.1,1
801,plant,NW_009339666.1,1
802,plant,NW_009339667.1,1
803,plant,NW_009339668.1,1
804,plant,NW_009339669.1,1
805,plant,NW_009339670.1,1
806,plant,NW_009339671.1,1
807,plant,NW_009339672.1,1
808,plant,NW_009339673.1,1
809,plant,NW_009339674.1,1
810,plant,NW_009339675.1,1
811,plant,NW_009339676.1,1
812,plant,NW_009339677.1,1
813,plant,NW_009339678.1,1
814,plant,NW_009339679.1,1
815,plant,NW_009339680.1,1
816,plant,NW_009339681.1,1
817,plant,NW_009339682.1,1
818,plant,NW_009339683.1,1
819,plant,NW_009339684.1,1
820,plant,NW_009339685.1,1
821,plant,NW_009339686.1,1
822,plant,NW_009339687.1,1
823,plant,NW_009339688.1,1
824,plant,NW_009339689.1,1
825,plant,NW_009339690.1,1
826,plant,NW_009339691.1,1
827,plant,NW_009339692.1,1
828,plant,NW_009339693.1,1
829,plant,NW_009339694.1,1
830,plant,NW_009339695.1,1
831,plant,NW_009339696.1,1
832,plant,NW_009339697.1,1
833,plant,NW_009339698.1,1
834,plant,NW_009339699.1,1
835,plant,NW_009339700.1,1
836,plant,NW_009339701.1,1
837,plant,NW_009339702.1,1
838,plant,NW_009339703.1,1
839,plant,NW_009339704.1,1
840,plant,NW_009339705.1,1
841,plant,NW_009339706.1,1
842,plant,NW_009339707.1,1
843,plant,NW_009339708.1,1
844,plant,NW_009339709.1,1
845,plant,NW_009339710.1,1
846,plant,NW_009339711.1,1
847,plant,NW_009339712.1,1
848,plant,NW_009339713.1,1
849,plant,NW_009339714.1,1
850,plant,NW_009339715.1,1
851,plant,NW_009339716.1,1
852,plant,NW_009339717.1,1
853,plant,NW_009339718.1,1
854,plant,NW_009339719.1,1
855,plant,NW_009339720.1,1
856,plant,NW_009339721.1,1
857,plant,NW_009339722.1,1
858,plant,NW_009339723.1,1
859,plant,NW_009339724.1,1
860,plant,NW_009339725.1,1
861,plant,NW_009339726.1,1
862,plant,NW_009339727.1,1
863,plant,NW_009339728.1,1
864,plant,NW_009339729.1,1
865,plant,NW_009339732.1,1
866,plant,NW_009339733.1,1
867,plant,NW_009339734.1,1
868,plant,NW_009339735.1,1
869,plant,NW_009339736.1,1
870,plant,NW_009339737.1,1
871,plant,NW_009339738.1,1
872,plant,NW_009339739.1,1
